Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,190C,Standard Selling,0
,191C,Standard Selling,304
,192C,Standard Selling,124
,193C,Standard Selling,101
,194C,Standard Selling,50
,195C,Standard Selling,320
,196C,Standard Selling,5
,197C,Standard Selling,50
,198C,Standard Selling,50
,199C,Standard Selling,252
,200C,Standard Selling,0
,201C,Standard Selling,750
,202C,Standard Selling,50
,203C,Standard Selling,20
,204C,Standard Selling,20
,205C,Standard Selling,50
,206C,Standard Selling,20
,207C,Standard Selling,250
,208C,Standard Selling,130
,209C,Standard Selling,150
,210C,Standard Selling,20
,211C,Standard Selling,20
,212C,Standard Selling,50
,213C,Standard Selling,20
,214C,Standard Selling,40
,215C,Standard Selling,20
,216C,Standard Selling,100
,217C,Standard Selling,50
,218C,Standard Selling,1
,219C,Standard Selling,200
,220C,Standard Selling,100
,221C,Standard Selling,5
,222C,Standard Selling,100
,223C,Standard Selling,100
,224C,Standard Selling,100
,225C,Standard Selling,200
,226C,Standard Selling,230
,227C,Standard Selling,650
,228C,Standard Selling,300
,229C,Standard Selling,50
,230C,Standard Selling,50
,231C,Standard Selling,100
,232C,Standard Selling,60
,233C,Standard Selling,20
,234C,Standard Selling,250
,235C,Standard Selling,20
,236C,Standard Selling,300
,237C,Standard Selling,0
,238C,Standard Selling,0
,239C,Standard Selling,0
,241S,Standard Selling,28
,242S,Standard Selling,4
,243C,Standard Selling,10
,244S,Standard Selling,1
,245S,Standard Selling,2
,246S,Standard Selling,51
,247S,Standard Selling,2
,248S,Standard Selling,1.5
,249S,Standard Selling,4
,250S,Standard Selling,5
,251S,Standard Selling,1
,252S,Standard Selling,28
,253S,Standard Selling,33
,254S,Standard Selling,1
,255S,Standard Selling,3
,256S,Standard Selling,3
,257S,Standard Selling,6
,258S,Standard Selling,7
,259S,Standard Selling,1
,260S,Standard Selling,1
,261S,Standard Selling,900
,262S,Standard Selling,32
,263S,Standard Selling,10
,264S,Standard Selling,25
,265S,Standard Selling,0
,266S,Standard Selling,1
,267S,Standard Selling,21
,268S,Standard Selling,5
,269S,Standard Selling,10
,270S,Standard Selling,3
,271S,Standard Selling,62
,272S,Standard Selling,2
,273S,Standard Selling,3
,274S,Standard Selling,10
,275S,Standard Selling,36
,276S,Standard Selling,8
,277S,Standard Selling,1
,278S,Standard Selling,10
,279S,Standard Selling,1
,280S,Standard Selling,5
,281S,Standard Selling,3
,282S,Standard Selling,3
,283S,Standard Selling,2
,284S,Standard Selling,3
,285S,Standard Selling,1
,286S,Standard Selling,50
,287S,Standard Selling,1
,288S,Standard Selling,15
,289S,Standard Selling,60
,290S,Standard Selling,40
,291S,Standard Selling,0
,292S,Standard Selling,5
,293S,Standard Selling,3
,294S,Standard Selling,3
,295S,Standard Selling,3
,296S,Standard Selling,0
,297S,Standard Selling,5
,298S,Standard Selling,55
,299S,Standard Selling,30
,300S,Standard Selling,3
,301S,Standard Selling,5
,302S,Standard Selling,50
,303S,Standard Selling,20
,304S,Standard Selling,60
,305S,Standard Selling,70
,306S,Standard Selling,2
,307S,Standard Selling,10
,308S,Standard Selling,20
,309S,Standard Selling,15
,310S,Standard Selling,5
,311S,Standard Selling,20
,312S,Standard Selling,1
,313S,Standard Selling,15
