Data Import Template,,,
Table:,Item Price,,
,,,
,,,
Notes:,,,
Please do not change the template headings.,,,
First data column must be blank.,,,
"If you are uploading new records, leave the ""name"" (ID) column blank.",,,
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present.",,,
Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish.,,,
"For updating, you can update only selective columns.",,,
You can only upload upto 5000 records in one go. (may be less in some cases),,,
,,,
DocType:,Item Price,,
Column Labels:,Item Code,Price List,Rate
Column Name:,item_code,price_list,price_list_rate
Mandatory:,Yes,Yes,Yes
Type:,Link,Link,Currency
Info:,Valid Item,Valid Price List,
Start entering data below this line,,,
,170PH,Standard Selling,1000
,171PH,Standard Selling,2000
,172PH,Standard Selling,2000
,173PH,Standard Selling,1000
,174PH,Standard Selling,1000
,175PH,Standard Selling,1000
,176PH,Standard Selling,1000
,177PH,Standard Selling,1000
,178PH,Standard Selling,1000
,179PH,Standard Selling,1000
,180PH,Standard Selling,1000
,181PH,Standard Selling,2000
,182PH,Standard Selling,5000
,183PH,Standard Selling,1500
,184PH,Standard Selling,1000
,185PH,Standard Selling,1000
,186PH,Standard Selling,1000
,187PH,Standard Selling,1000
,188PH,Standard Selling,1000
,189PH,Standard Selling,5000
,190PH,Standard Selling,5000
,191PH,Standard Selling,5000
,192PH,Standard Selling,1000
,193PH,Standard Selling,3000
,194PH,Standard Selling,2000
,195PH,Standard Selling,1000
,196PH,Standard Selling,1000
,197PH,Standard Selling,1000
,198PH,Standard Selling,1000
,199PH,Standard Selling,1000
,200PH,Standard Selling,50000
,201PH,Standard Selling,10000
,202PH,Standard Selling,3000
,203PH,Standard Selling,500
,204PH,Standard Selling,500
,205PH,Standard Selling,500
,206PH,Standard Selling,5000
,207PH,Standard Selling,500
,208PH,Standard Selling,10000
,209PH,Standard Selling,5000
,210PH,Standard Selling,5000
,211PH,Standard Selling,5000
,212PH,Standard Selling,1500
,213PH,Standard Selling,1000
,214PH,Standard Selling,500
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
